"","(-Inf,2.44]","(2.44,5.61]","(5.61, Inf]"
"30","0.000153541416161678","0.000237892145249949","4.50791678419844e-13"
"37","0.000231908391088139","0.000359301131083417","6.809127014449e-13"
"63","0.000546519394907763","0.000846637999808165","1.60499709072051e-12"
"81","0.000826807486550229","0.00128071376680198","2.4285772155947e-12"
"87","0.00103089057937648","0.00159671660927761","3.02843614363609e-12"
"92","0.00115975113800517","0.0017962203671817","3.40729051441517e-12"
"98","0.00136247479346403","0.00211004195584878","4.00342592047111e-12"
"102","0.00152908309242846","0.00236792116453894","4.49348369817361e-12"
"103","0.00361452659562764","0.00559314636661011","1.06367066738736e-11"
"104","0.00529146936263423","0.00818303356000378","1.5589017881286e-11"
"105","0.00529146936263423","0.00818303356000378","1.5589017881286e-11"
