"","(-Inf,2.44]","(2.44,5.61]","(5.61, Inf]"
"15","0.0181248128421996","0.0199546452447514","2.7248273364504e-11"
"18","0.0202917339587522","0.0223376481567825","3.0542064079064e-11"
"22","0.0329245546192386","0.0362186709565696","4.99015757850898e-11"
"41","0.033792206581589","0.0371713272912958","5.12411913907775e-11"
"46","0.042016985766177","0.0461972348728146","6.40044553136926e-11"
"47","0.0583520200197943","0.0640981976675284","8.97061719943139e-11"
"48","0.0605279217870119","0.066480141295154","9.3165882219333e-11"
"50","0.0619211179421357","0.0680049465821119","9.53856095617107e-11"
"53","0.0623572335376594","0.0684822093017945","9.60811898665402e-11"
"56","0.0632290154853313","0.069436170445492","9.74726537990614e-11"
"60","0.0673837209634948","0.0739811893445601","1.04123297247217e-10"
"63","0.11301195438022","0.123748740290241","1.79330485771595e-10"
"65","0.115450414139151","0.126400695082603","1.83466117431384e-10"
"67","0.119654390879496","0.130970875020476","1.90624951357961e-10"
"68","0.121112601416489","0.132555554579405","1.93116688936521e-10"
"69","0.126566735423774","0.138480181768511","2.02476100769537e-10"
"70","0.130203268238514","0.1424281821046","2.08751476697521e-10"
"75","0.131340229117095","0.143662155450106","2.10719253440172e-10"
"78","0.133384679840576","0.145880609543632","2.14264658868651e-10"
"87","0.139967408261662","0.153019725991569","2.25741563863679e-10"
"89","0.141125768278969","0.154275380643863","2.27770912523058e-10"
"90","0.142614484502607","0.15588886917521","2.30383367118863e-10"
"91","0.144475098899219","0.157904997697965","2.33655310803373e-10"
"93","0.167766993850744","0.18310312030293","2.75274810109534e-10"
"96","0.177237540712069","0.193327018668202","2.92557184046892e-10"
"97","0.185153500012832","0.201862899435669","3.07167753285141e-10"
"98","0.188797035563743","0.205788760473299","3.13944101539295e-10"
"102","0.212582883088682","0.231370498652783","3.59002932737349e-10"
"103","0.220896596271499","0.240292373659433","3.75098657533029e-10"
"105","0.220896596271499","0.240292373659433","3.75098657533029e-10"
