"","(-Inf,0.352]","(0.352,2.11]","(2.11, Inf]"
"30","0.000355361523173201","7.87128369365175e-06","4.86943222253708e-05"
"37","0.000533093280942524","1.18099543969917e-05","7.30588405551625e-05"
"63","0.00124351615391951","2.75661310830107e-05","0.000170516947575692"
"81","0.00222811573925356","4.94367360125253e-05","0.000305770767753537"
"87","0.00290755159801551","6.45516423416079e-05","0.000399228912340119"
"92","0.0032925398583305","7.31244777234296e-05","0.000452230250068589"
"98","0.00387798850585179","8.61726325524833e-05","0.000532891770863617"
"102","0.00502177939155368","0.000111704981479704","0.000690699293474338"
"103","0.0185994985825367","0.000418927985682576","0.00258652126439858"
"104","0.0295406077167795","0.000672211458792558","0.0041452937731864"
"105","0.0295406077167795","0.000672211458792558","0.0041452937731864"
