"","(-Inf,0.301]","(0.301,1.61]","(1.61, Inf]"
"30","0.000291994571554351","0.000135686722623837","1.68841221133773e-05"
"37","0.00043821430128953","0.000203645414643683","2.53416657372263e-05"
"63","0.00103384207604684","0.000480558496408226","5.98116534268892e-05"
"81","0.00167202680707342","0.000777403969505889","9.67767519400031e-05"
"87","0.00210098105080579","0.00097701360052143","0.000121641535897388"
"92","0.00243867748208114","0.00113420582430699","0.000141227103787549"
"98","0.00297123766652652","0.00138219090053068","0.000172133361221774"
"102","0.00338006130824327","0.00157263066923502","0.000195874623598332"
"103","0.00839333896765582","0.00391305800570032","0.000488132091368225"
"104","0.0123917151642595","0.00578651790496743","0.000722729243801891"
"105","0.0123917151642595","0.00578651790496743","0.000722729243801891"
