"","(-Inf,0.352]","(0.352,2.11]","(2.11, Inf]"
"15","0.0124865348603895","0.0140472998817116","0.000203377124135042"
"18","0.0139766835605275","0.0157220267198992","0.000227839453296109"
"22","0.0226726856173486","0.0254879583980645","0.000371419969542282"
"41","0.0232697626026951","0.0261580452606288","0.000381330555734594"
"46","0.0289299229257517","0.032507422678975","0.000475617557640271"
"47","0.0401742732323965","0.0451053161464226","0.000664757078183837"
"48","0.0416678627102275","0.0467771239030636","0.000690066299854464"
"50","0.0426240070603601","0.0478471630443205","0.000706291494380673"
"53","0.0429229769145553","0.04818171467145","0.00071136854217362"
"56","0.0435206598094453","0.0488504860165451","0.00072152358134699"
"60","0.046367129815347","0.0520346999415467","0.000769984357922041"
"63","0.0776096826562519","0.0868948681333663","0.0013127385680774"
"65","0.0792661240739122","0.0887384902904035","0.00134208543089307"
"67","0.0821218667484757","0.0919158333949906","0.00139281878372211"
"68","0.0831025636532681","0.0930066491405267","0.00141028190623061"
"69","0.0867723604742757","0.097087047181834","0.00147581499024223"
"70","0.0892159007317697","0.0998027005485373","0.00151961362951751"
"75","0.0899794601547578","0.100651078809847","0.00153332678233888"
"78","0.0913545519573116","0.102178666531429","0.00155805520092749"
"87","0.0957290143577166","0.107036074356569","0.00163700051475369"
"89","0.0964985835603843","0.107890261581548","0.00165093294742844"
"90","0.0974850666726093","0.108985063026701","0.00166881183488655"
"91","0.0987179920408029","0.11035312882553","0.00169118792967777"
"93","0.112916193891506","0.12608845355455","0.00195136022617646"
"96","0.118633368337372","0.132414574506917","0.00205744084173227"
"97","0.124681666091087","0.139100787299168","0.00217050608941243"
"98","0.127466521261383","0.142177174629244","0.00222285950744752"
"102","0.148507254997107","0.165375592918223","0.0026245540918801"
"103","0.155821005783576","0.17342058243486","0.00276679084366042"
"105","0.155821005783576","0.17342058243486","0.00276679084366042"
