"","(-Inf,0.301]","(0.301,1.61]","(1.61, Inf]"
"15","0.0134437724743627","0.0048175763377114","0.00638465219143506"
"18","0.0150543072649084","0.00539763384943794","0.00715269039894063"
"22","0.0244512843685966","0.00879473038271234","0.0116476569729647"
"41","0.0250972792041706","0.00902906157514997","0.0119575277123872"
"46","0.0312244527587025","0.0112568121114456","0.0149021861640631"
"47","0.0434117172144398","0.0157159270391579","0.0207895568319513"
"48","0.0450241389727422","0.0163087086967449","0.0215715303711537"
"50","0.0460569606571975","0.016688759113709","0.0220727938939622"
"53","0.0463799464815874","0.0168076652946917","0.0222296105420373"
"56","0.0470257164846457","0.0170454837190104","0.0225432326469326"
"60","0.0501056360618082","0.0181812053624756","0.0240406081537846"
"63","0.0839241698932999","0.0308159248255699","0.040659191034595"
"65","0.085712661374248","0.0314926805573221","0.0415472848504381"
"67","0.0887969620262234","0.0326618330152977","0.043081048935958"
"68","0.0898449816897132","0.0330596997188715","0.0436028518608636"
"69","0.0937656347433838","0.0345508284502306","0.045557826207531"
"70","0.0963827142474284","0.0355485602628458","0.0468653546964045"
"75","0.0972013047785233","0.0358610326861435","0.0472747564207316"
"78","0.098674192121862","0.0364237376764238","0.0480119004027799"
"87","0.103349033245127","0.038213780306992","0.0503558930074171"
"89","0.104171875439896","0.0385294959073036","0.050769158188297"
"90","0.105226336124607","0.0389343627315312","0.0512990535767537"
"91","0.10654466812622","0.0394409906824373","0.0519620294387372"
"93","0.121073791977127","0.0450576347860693","0.0593040983949691"
"96","0.126836699487841","0.0473025295585092","0.0622345606160163"
"97","0.132096759031512","0.0493601489325849","0.0649185140237152"
"98","0.134519845654157","0.0503107935277854","0.0661578721728088"
"102","0.150919338424678","0.0567916910498486","0.0745958954141669"
"103","0.156573717910142","0.0590454939565693","0.0775257463768558"
"105","0.156573717910142","0.0590454939565693","0.0775257463768558"
